title,author,length
Fate Hollow Academy: Term 1,Lyra Winters,Length: 9 hrs and 35 mins
The Bloodstone Brooch,Katherine Lowry Logan,Length: 30 hrs and 50 mins
Dragon's Mage,"James Haddock,Gus James",Length: 6 hrs and 22 mins
The Whole-Brain Child,"Daniel J. Siegel,Tina Payne Bryson",Length: 6 hrs and 14 mins
While Time Remains,Yeonmi Park,Length: 6 hrs and 28 mins
The Confidante,Christopher C. Gorham,Length: 14 hrs and 19 mins
I Have Some Questions for You,Rebecca Makkai,Length: 14 hrs and 4 mins
Beyond Rosy Irish Twilight,Ava Miles,Length: 4 hrs and 30 mins
The Secrets You Keep,Tracy Lorraine,Length: 15 hrs and 4 mins
The Water Is Wide,Pat Conroy,Length: 9 hrs and 17 mins
Murder Your Employer,Rupert Holmes,Length: 14 hrs and 13 mins
The Butcher and the Wren,Alaina Urquhart,Length: 6 hrs and 23 mins
Palo Alto,Malcolm Harris,Length: 28 hrs and 20 mins
A Snake's Rule,Kenneth Arant,Length: 10 hrs and 40 mins
The Witching Hour,Anne Rice,Length: 50 hrs and 1 min
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins
The Princess Diarist,Carrie Fisher,Length: 5 hrs and 10 mins
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins
American Sniper,"Chris Kyle,Scott McEwan,Jim DeFelice",Length: 10 hrs and 18 mins
Start with Why,Simon Sinek,Length: 7 hrs and 18 mins
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud",Length: 11 hrs and 18 mins
The Great Gatsby,F. Scott Fitzgerald,Length: 4 hrs and 49 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
A Short History of Nearly Everything,Bill Bryson,Length: 18 hrs and 13 mins
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min
The Magic of Thinking Big,David Schwartz,Length: 9 hrs and 31 mins
How Not to Die,"Michael Greger MD,Gene Stone",Length: 17 hrs and 9 mins
Down the Rabbit Hole,Holly Madison,Length: 10 hrs and 51 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
Cat's Chance in Hell,Meghan Maslow,Length: 11 hrs and 47 mins
The Gray Man,Mark Greaney,Length: 11 hrs and 11 mins
